account_id,days_past_due,amount_due,paid_on_time_ratio_12m,missed_payments_12m,contact_channel,prev_contacted,prev_response,risk_segment,repaid_30d
CUST-00001,114,606.63,0.925,5,call,0,0,severe,0
CUST-00002,76,515.28,0.575,3,call,0,0,severe,0
CUST-00003,83,798.34,0.659,2,email,1,0,severe,0
CUST-00004,108,232.84,0.44,2,whatsapp,1,1,severe,0
CUST-00005,70,462.06,0.455,0,email,0,0,late,1
CUST-00006,94,714.0,0.489,3,email,0,0,severe,0
CUST-00007,101,666.93,0.648,3,sms,1,0,severe,0
CUST-00008,28,822.7,0.794,2,whatsapp,0,0,mid,1
CUST-00009,7,607.05,0.26,2,email,1,0,early,0
CUST-00010,37,380.99,0.87,3,whatsapp,1,0,mid,0
CUST-00011,35,595.9,0.484,3,sms,0,0,mid,0
CUST-00012,105,159.17,0.507,4,whatsapp,0,0,severe,0
CUST-00013,110,20.0,0.856,3,sms,1,0,severe,1
CUST-00014,1,665.81,0.705,2,sms,1,1,early,0
CUST-00015,60,462.36,0.413,0,sms,0,0,late,0
CUST-00016,99,578.69,1.0,0,call,0,0,severe,0
CUST-00017,16,20.0,0.548,4,call,1,0,mid,0
CUST-00018,96,363.16,0.769,3,email,0,0,severe,0
CUST-00019,15,288.05,0.76,0,email,0,0,early,0
CUST-00020,57,203.45,1.0,2,sms,1,1,late,1
CUST-00021,98,20.0,0.629,2,whatsapp,0,0,severe,0
CUST-00022,37,372.84,0.922,2,email,1,1,mid,0
CUST-00023,41,767.14,0.572,2,whatsapp,1,1,mid,0
CUST-00024,34,601.92,0.944,4,sms,1,0,mid,0
CUST-00025,87,287.7,0.567,2,email,0,0,severe,0
CUST-00026,31,475.24,0.648,1,whatsapp,0,0,mid,0
CUST-00027,119,722.18,1.0,2,whatsapp,1,0,severe,1
CUST-00028,54,20.0,0.783,0,email,1,0,late,1
CUST-00029,58,440.15,0.742,1,call,0,0,late,0
CUST-00030,61,653.82,1.0,0,sms,1,0,late,1
CUST-00031,70,698.28,0.792,2,sms,1,0,late,0
CUST-00032,67,1024.23,0.557,4,email,0,0,late,0
CUST-00033,62,843.21,0.867,2,sms,1,1,late,0
CUST-00034,120,580.02,0.484,2,sms,0,0,severe,0
CUST-00035,97,576.63,0.946,2,email,0,0,severe,0
CUST-00036,96,731.82,0.961,2,email,0,0,severe,0
CUST-00037,85,307.42,0.605,2,email,1,0,severe,0
CUST-00038,75,467.14,0.594,2,sms,1,0,late,0
CUST-00039,41,770.0,0.755,4,email,1,1,mid,0
CUST-00040,119,1106.38,0.723,3,whatsapp,1,0,severe,0
CUST-00041,56,429.03,0.524,1,whatsapp,1,0,late,1
CUST-00042,26,464.51,0.834,3,email,0,0,mid,1
CUST-00043,102,543.51,0.312,1,whatsapp,1,1,severe,0
CUST-00044,20,909.83,0.633,1,sms,0,0,mid,0
CUST-00045,103,470.3,0.639,2,call,1,0,severe,0
CUST-00046,74,950.19,0.665,5,whatsapp,1,0,late,0
CUST-00047,14,170.67,0.781,3,email,1,1,early,1
CUST-00048,6,420.47,0.474,3,whatsapp,0,0,early,1
CUST-00049,54,416.59,0.838,1,email,1,1,late,1
CUST-00050,5,731.68,0.684,7,email,1,0,early,0
CUST-00051,17,814.48,0.59,1,email,0,0,mid,0
CUST-00052,62,20.0,0.447,3,email,1,0,late,0
CUST-00053,117,187.16,0.483,1,sms,0,0,severe,0
CUST-00054,56,587.79,0.792,4,sms,0,0,late,0
CUST-00055,98,269.22,0.527,1,whatsapp,1,1,severe,1
CUST-00056,111,20.0,0.733,1,whatsapp,1,1,severe,1
CUST-00057,99,812.31,0.932,1,email,0,0,severe,0
CUST-00058,76,638.07,0.927,1,whatsapp,1,0,severe,0
CUST-00059,53,637.82,1.0,5,call,0,0,late,1
CUST-00060,62,327.86,0.661,1,whatsapp,0,0,late,0
CUST-00061,32,809.26,0.503,2,email,0,0,mid,0
CUST-00062,60,403.21,0.924,3,sms,0,0,late,1
CUST-00063,46,830.86,0.782,4,email,1,1,late,1
CUST-00064,30,188.27,0.945,0,email,0,0,mid,0
CUST-00065,120,206.68,0.722,2,whatsapp,1,0,severe,0
CUST-00066,2,545.49,0.959,1,email,0,0,early,0
CUST-00067,12,255.25,0.889,1,email,1,0,early,1
CUST-00068,24,696.14,0.863,4,sms,1,0,mid,0
CUST-00069,117,563.23,0.821,5,sms,0,0,severe,0
CUST-00070,84,184.65,0.8,1,sms,1,0,severe,1
CUST-00071,106,503.32,0.767,0,call,0,0,severe,0
CUST-00072,25,367.59,0.765,2,sms,0,0,mid,0
CUST-00073,87,773.07,0.918,4,whatsapp,0,0,severe,0
CUST-00074,45,277.58,0.618,2,sms,0,0,mid,0
CUST-00075,59,339.46,1.0,2,call,0,0,late,1
CUST-00076,1,867.6,0.699,3,call,0,0,early,1
CUST-00077,75,1196.35,0.917,3,sms,0,0,late,0
CUST-00078,100,1119.68,0.702,3,sms,1,0,severe,0
CUST-00079,80,500.23,0.671,3,email,1,1,severe,0
CUST-00080,19,550.03,1.0,4,sms,1,0,mid,1
